horizon,corridor,method,split,eligible_days,signal_count,target_positives,signal_hit_rate,random_hit_rate,freq_matched_hit_rate,lift,lift_freq_matched,bps_forward,signals_per_week,cluster_share,brier_score,experiment,feature_groups
1,RUB->UZS,catboost,oot,247,0,136,,0.5506072874493927,,,,,0.0,,0.24495951305887848,cbr_full_catboost,"A,B,C,E"
1,RUB->AMD,catboost,y2022,247,0,124,,0.5020242914979757,,,,,0.0,,0.25015275467946885,cbr_context_catboost,"A,B,C,D,E"
1,RUB->KGS,catboost,y2022,247,0,123,,0.4979757085020243,,,,,0.0,,0.2509150792756378,cbr_context_catboost,"A,B,C,D,E"
1,RUB->KZT,catboost,y2022,247,1,116,1.0,0.46963562753036436,0.4,2.1293103448275863,2.5,166.74938700525234,0.01977401129943503,0.0,0.2464122967732879,cbr_context_catboost,"A,B,C,D,E"
1,RUB->TJS,catboost,y2022,247,0,131,,0.5303643724696356,,,,,0.0,,0.25391192782298094,cbr_context_catboost,"A,B,C,D,E"
1,RUB->UZS,catboost,y2022,247,3,119,1.0,0.4817813765182186,0.46666666666666656,2.0756302521008405,2.1428571428571432,67.62959946380924,0.059322033898305086,0.0,0.24939439940762048,cbr_context_catboost,"A,B,C,D,E"
1,RUB->AMD,catboost,wf_oos,656,23,353,0.6956521739130435,0.538109756097561,0.5260869565217391,1.2927700455721147,1.322314049586777,59.44590107995064,0.16718587746625127,0.043478260869565216,0.24909268880884028,cbr_context_catboost,"A,B,C,D,E"
1,RUB->KGS,catboost,wf_oos,656,33,348,0.6363636363636364,0.5304878048780488,0.5551515151515152,1.199582027168234,1.1462882096069869,35.93605146997436,0.23987538940809966,0.0,0.2502678389337493,cbr_context_catboost,"A,B,C,D,E"
1,RUB->KZT,catboost,wf_oos,656,27,333,0.5925925925925926,0.5076219512195121,0.49185185185185193,1.1673896118340563,1.2048192771084334,17.438652065990613,0.19626168224299065,0.07407407407407407,0.2548304769162039,cbr_context_catboost,"A,B,C,D,E"
1,RUB->TJS,catboost,wf_oos,656,29,361,0.7931034482758621,0.5503048780487805,0.5889655172413792,1.441207374152259,1.3466042154566746,42.008040902231464,0.2107995846313603,0.06896551724137931,0.2544614560471671,cbr_context_catboost,"A,B,C,D,E"
1,RUB->UZS,catboost,wf_oos,656,31,345,0.5483870967741935,0.5259146341463414,0.5212903225806452,1.042730247779336,1.0519801980198018,28.90831708846986,0.22533748701973,0.03225806451612903,0.25076748935041016,cbr_context_catboost,"A,B,C,D,E"
1,RUB->AMD,catboost,oot,247,4,132,0.75,0.5344129554655871,0.55,1.4034090909090908,1.3636363636363635,84.15284074038317,0.07692307692307693,0.0,0.24239850461901405,cbr_context_catboost,"A,B,C,D,E"
1,RUB->KGS,catboost,oot,247,5,117,1.0,0.47368421052631576,0.48,2.111111111111111,2.0833333333333335,117.03738195108704,0.09615384615384616,0.2,0.24341004340051936,cbr_context_catboost,"A,B,C,D,E"
1,RUB->KZT,catboost,oot,247,9,142,0.8888888888888888,0.5748987854251012,0.5955555555555556,1.546165884194053,1.4925373134328357,42.635935278371356,0.17307692307692307,0.1111111111111111,0.24590963901271343,cbr_context_catboost,"A,B,C,D,E"
1,RUB->TJS,catboost,oot,247,11,125,0.8181818181818182,0.5060728744939271,0.5327272727272728,1.6167272727272728,1.5358361774744025,60.34851966208374,0.21153846153846154,0.09090909090909091,0.24398768633634746,cbr_context_catboost,"A,B,C,D,E"
1,RUB->UZS,catboost,oot,247,6,136,0.8333333333333334,0.5506072874493927,0.56,1.513480392156863,1.488095238095238,54.57593952793192,0.11538461538461539,0.16666666666666666,0.24479482099401473,cbr_context_catboost,"A,B,C,D,E"
3,RUB->AMD,logreg,y2022,247,1,85,0.0,0.3441295546558704,0.42,0.0,0.0,-160.1087308700569,0.01977401129943503,0.0,0.24258279456054,incumbent_ab,"A,B"
3,RUB->KGS,logreg,y2022,247,0,84,,0.340080971659919,,,,,0.0,,0.22897355761636798,incumbent_ab,"A,B"
3,RUB->KZT,logreg,y2022,247,2,75,0.0,0.30364372469635625,0.32,0.0,0.0,-312.38712972035734,0.03954802259887006,0.0,0.22454984496817032,incumbent_ab,"A,B"
3,RUB->TJS,logreg,y2022,247,1,87,0.0,0.3522267206477733,0.48,0.0,0.0,-269.5898571895586,0.01977401129943503,0.0,0.2372094271511219,incumbent_ab,"A,B"
3,RUB->UZS,logreg,y2022,247,1,79,0.0,0.31983805668016196,0.28,0.0,0.0,-95.58569107679283,0.01977401129943503,0.0,0.23930209722290782,incumbent_ab,"A,B"
